objID,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
587724231568195720,19.97590408,13.54285916,0.237441,17.934174,2.87965,0.412505,4.790233,0.452127
587724231571472548,27.69541189,12.99677346,0.356974,18.674381,0.951019,0.785371,1.439626,0.783612
587724232643641573,24.12283998,14.06233497,0.304175,18.403534,1.483274,0.764842,2.78786,0.768656
587724232644886752,26.95425443,13.91341075,0.198339,17.239321,2.821045,0.916522,5.796563,0.95996
587724232646328582,30.2805622,13.4755521,0.123514,17.062796,6.403192,0.213557,14.880732,0.200004
587724232647115138,32.20018079,13.2059846,0.364244,19.171303,1.858383,0.508969,3.297174,0.461694
587724233180840154,24.85654636,14.43563321,0.322593,18.330221,0.837044,0.971586,1.514016,0.928738
587724233181495505,26.45119308,14.23972,0.189118,17.421844,3.876027,0.931271,10.373115,0.922688
587724233716465878,22.00128014,15.10244369,0.128016,17.352365,3.018324,0.765723,6.375619,0.755934
587724233717776580,25.05358531,14.88046363,0.324897,18.354542,1.024154,0.999766,1.777486,0.999929
587724233718825125,27.48633234,14.57188034,0.231375,17.472176,1.851809,0.659852,3.519785,0.624058
587724234252222717,19.38297441,15.74719628,0.38175,18.914242,1.180115,0.869166,1.845408,0.922851
587724234252746833,20.57141576,15.53941886,0.133563,17.687777,1.55399,0.614796,2.797874,0.605943
587724234252747095,20.6370534,15.62612388,3.49508E-4,23.573772,3.411196,0.05,3.303277,0.05
587724234252877998,20.86598923,15.68323909,0.360879,19.156839,0.848325,0.827313,1.281363,0.859777
587724234257465619,31.66314935,14.63369391,0.419149,19.092926,1.514264,0.605989,2.600409,0.567822
587724234257596589,31.9481207,14.53175608,0.356684,17.885468,1.910073,0.677794,3.712943,0.657571
587724240688382124,38.67603612,-8.80896577,0.262587,17.759861,1.052702,0.929097,1.813997,0.928883
587724240688447556,38.69899949,-8.78472507,0.042527,17.699987,3.260719,0.22804,5.117166,0.203792
587724241761009822,36.00469109,-8.34587813,0.27409,17.920214,1.257351,0.743116,2.101862,0.705413
587724241761402956,36.88481984,-8.12015258,0.184193,17.438272,1.980468,0.858858,4.071742,0.810612
587724241762255145,38.79815689,-8.09477343,0.042149,17.533655,4.322622,0.677535,13.397061,0.639257
587724241762779522,40.03888365,-7.92146468,0.403714,18.833879,2.295783,0.380919,3.787807,0.371636
587724241762779620,40.0776675,-7.86898351,0.402573,19.023666,1.436235,0.625851,2.501208,0.581771
587724241762910358,40.28124761,-7.92466118,0.271195,18.650972,0.745407,0.764178,1.235705,0.749313
587724242299060613,38.70501292,-7.54678239,0.456281,19.118841,3.003011,0.492743,6.75886,0.433041
587724242835079290,36.71225978,-7.34057116,0.241535,17.765877,2.13223,0.936469,3.802378,0.953522
587727177921659015,21.1294829,-10.81941615,0.389275,18.781883,1.012831,0.693347,1.592769,0.676951
587727177921855567,21.54236607,-10.67230632,0.142501,16.961674,3.13722,0.972395,7.78145,0.940553
587727177923035290,24.19781325,-10.62429208,0.379935,18.30447,1.215154,0.812422,2.306757,0.772249
587727178458857625,21.83521281,-10.3348393,0.303242,18.281872,1.037067,0.670416,1.544574,0.610408
587727178459709600,23.72559824,-10.18782716,0.322935,18.543251,1.051267,0.977089,1.917799,0.942864
587727178460037262,24.47245862,-10.22300016,0.321927,18.090647,1.255948,0.782805,2.437308,0.758379
587727178467049675,40.73928342,-8.95854553,0.384621,18.755913,2.343145,0.418761,4.864604,0.385437
587727178996252743,23.0084766,-9.74342229,0.100605,17.288971,3.09432,0.737601,6.784661,0.710737
587727178996318368,23.21778432,-9.89536763,0.260897,17.849405,1.848982,0.627195,3.671244,0.623788
587727178996842511,24.30165446,-9.81421965,0.330702,17.510303,2.386052,0.888311,5.166003,0.907455
587727178997629304,26.18693504,-9.73500455,0.431852,18.921518,1.872183,0.663306,4.031332,0.675669
587727178997694609,26.32262022,-9.68227609,0.34379,18.945427,0.783697,0.911334,1.151996,0.929094
587727178997891588,26.83708655,-9.61725033,0.452148,19.261379,1.821149,0.559979,3.413209,0.498683
587727178997956803,26.96723492,-9.56201163,0.445578,18.612661,2.290213,0.656786,5.181722,0.637829
587727178998481099,28.21405601,-9.54003336,0.448414,18.867537,1.202274,0.639865,1.796223,0.621668
587727179001036917,34.04997498,-9.01122427,0.110786,16.528913,4.84554,0.534216,12.320756,0.527221
587727179001692235,35.5355628,-9.03997993,0.166431,17.541153,2.371339,0.67272,4.52938,0.692308
587727179004248290,41.41238854,-8.29730709,0.201639,17.503984,1.555012,0.917188,3.790641,0.892832
587727179004313764,41.51863116,-8.29252183,0.372548,18.95149,1.190161,0.636222,1.837277,0.603144
587727179270193337,35.68524046,-8.87281009,0.263525,17.749596,1.532394,0.88765,3.417662,0.881769
587727179530829933,17.7078218,-9.65374786,0.295373,18.149508,1.016062,0.912322,1.689038,0.874945
587727179531157849,18.44404807,-9.60449369,0.447698,19.515368,1.250555,0.887818,2.258379,0.811372
587727179531747497,19.79456019,-9.57831853,0.387818,17.730297,2.127689,0.929128,5.155977,0.866601
587727179532009587,20.41305933,-9.63760946,-7.32936E-5,15.892775,36.319721,0.518523,4.069473,0.99969
587727179532337261,21.15107379,-9.46384504,0.208344,17.461164,1.399224,0.787199,2.504889,0.763576
587727179532402868,21.27090757,-9.41374496,0.387538,18.282509,1.822053,0.886146,3.47436,0.999755
587727179533123703,23.05434115,-9.46320073,0.274343,17.465664,1.933829,0.664035,3.833121,0.647192
587727179533844647,24.59585568,-9.3207841,0.490632,18.720636,1.540395,0.631339,2.894156,0.686842
587727179536466034,30.75868254,-9.0102072,0.121028,16.999758,3.978926,0.511998,8.416308,0.519436
587727179538366581,35.05175938,-8.53972309,0.110192,16.40317,5.192704,0.265464,12.692481,0.219478
587727179539612067,37.91144751,-8.27801707,0.416781,20.320484,0.828152,0.633347,1.116107,0.685325
587727179540398356,39.70209499,-8.04936922,5.89792E-3,17.107101,7.818946,0.856809,29.668571,0.904367
587727180067504652,17.26805161,-9.17606402,0.390995,19.011019,1.187573,0.744329,1.944144,0.672809
587727180069404773,21.5410522,-9.12972515,0.262686,17.299374,3.107266,0.526923,6.498847,0.521032
587727180072091811,27.79493653,-8.77407224,0.244061,17.747169,3.595111,0.860075,8.281777,0.826709
587727180073009271,29.87335121,-8.5467452,0.13649,16.519224,3.498183,0.520011,6.316269,0.564398
587727180074516583,33.37057794,-8.2205939,0.23606,17.260906,2.338679,0.577272,4.993328,0.540859
